productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,0,2017-10-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,49,2017-10-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,9,2017-10-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,38,2018-05-14,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,4,2018-05-21,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,1,2018-05-28,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,0,2018-06-04,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,100,2018-06-11,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,81,2018-06-18,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,43,2018-06-25,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,32,2018-07-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,42,2018-07-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,25,2018-07-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,16,2018-07-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,41,2018-07-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,50,2018-08-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,62,2018-08-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,61,2018-08-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,65,2018-08-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,65,2018-09-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,80,2018-09-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,46,2018-09-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,15,2018-09-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,16,2018-10-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,1,2018-10-08,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,0,2018-10-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,14,2018-10-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,18,2018-10-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,39,2018-11-05,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,3,2018-11-12,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,19,2018-11-19,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,18,2018-11-26,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,159,2018-12-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,26,2018-12-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,51,2018-12-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,21,2018-12-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,20,2018-12-31,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,11,2019-01-07,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,13,2019-01-14,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,39,2019-01-21,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,22,2019-01-28,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,25,2019-02-04,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
270978,SNICKERS MULTIPACK 200 GR,437917,1,(001) MYTISHI,43,2019-02-11,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
