Time,salesqty
2017-01-02,240.0
2017-01-09,211.0
2017-01-16,240.0
2017-01-23,273.0
2017-01-30,244.0
2017-02-06,300.0
2017-02-13,255.0
2017-02-20,291.0
2017-02-27,248.0
2017-03-06,244.0
2017-03-13,216.0
2017-03-20,198.0
2017-03-27,304.0
2017-04-03,279.0
2017-04-10,235.0
2017-04-17,177.0
2017-04-24,248.0
2017-05-01,168.0
2017-05-08,238.0
2017-05-15,221.0
2017-05-22,198.0
2017-05-29,259.0
2017-06-05,247.0
2017-06-12,224.0
2017-06-19,184.0
2017-06-26,200.0
2017-07-03,178.0
2017-07-10,175.0
2017-07-17,116.0
2017-07-24,132.0
2017-07-31,149.0
2017-08-07,416.1609756097561
2017-08-14,416.1609756097561
2017-08-21,178.0
2017-08-28,194.0
2017-09-04,164.0
2017-09-11,205.0
2017-09-18,169.0
2017-09-25,272.0
2017-10-02,281.0
2017-10-09,201.0
2017-10-16,272.0
2017-10-23,305.0
2017-10-30,287.0
2017-11-06,248.0
2017-11-13,416.1609756097561
2017-11-20,416.1609756097561
2017-11-27,1383.0
2017-12-04,416.1609756097561
2017-12-11,416.1609756097561
2017-12-18,3287.0
2017-12-25,5875.0
2018-01-01,548.0
2018-01-08,1465.0
2018-01-15,2383.0
2018-01-22,2949.0
2018-01-29,3329.0
2018-02-05,1452.0
2018-02-12,602.0
2018-02-19,480.0
2018-02-26,398.0
2018-03-05,8354.0
2018-03-12,2854.0
2018-03-19,2614.0
2018-03-26,1481.0
2018-04-02,981.0
2018-04-09,2311.0
2018-04-16,371.0
2018-04-23,1277.0
2018-04-30,747.0
2018-05-07,1488.0
2018-05-14,416.1609756097561
2018-05-21,416.1609756097561
2018-05-28,416.1609756097561
2018-06-04,416.1609756097561
2018-06-11,429.0
2018-06-18,416.1609756097561
2018-06-25,620.0
2018-07-02,3955.0
2018-07-09,505.0
2018-07-16,380.0
2018-07-23,190.0
2018-07-30,233.0
2018-08-06,267.0
2018-08-13,243.0
2018-08-20,210.0
2018-08-27,203.0
2018-09-03,190.0
2018-09-10,160.0
2018-09-17,226.0
2018-09-24,241.0
2018-10-01,387.0
2018-10-08,411.0
2018-10-15,393.0
2018-10-22,444.0
2018-10-29,283.0
2018-11-05,415.0
2018-11-12,708.0
2018-11-19,616.0
2018-11-26,441.0
2018-12-03,376.0
2018-12-10,307.0
2018-12-17,289.0
2018-12-24,263.0
2018-12-31,159.0
2019-01-07,240.0
2019-01-14,234.0
2019-01-21,182.0
2019-01-28,205.0
2019-02-04,246.0
2019-02-11,302.0
2019-02-18,262.0
2019-02-25,247.0
2019-03-04,271.0
2019-03-11,230.0
2019-03-18,253.0
2019-03-25,174.0
2019-04-01,168.0
2019-04-08,234.0
2019-04-15,252.0
2019-04-22,237.0
2019-04-29,279.0
2019-05-06,197.0
2019-05-13,207.0
2019-05-20,196.0
2019-05-27,156.0
2019-06-03,221.0
2019-06-10,200.0
2019-06-17,153.0
2019-06-24,197.0
2019-07-01,144.0
2019-07-08,194.0
2019-07-15,253.0
2019-07-22,167.0
2019-07-29,164.0
2019-08-05,241.0
2019-08-12,189.0
2019-08-19,176.0
2019-08-26,211.0
2019-09-02,167.0
2019-09-09,105.0
2019-09-16,416.1609756097561
2019-09-23,171.0
2019-09-30,148.0
2019-10-07,120.0
2019-10-14,138.0
2019-10-21,195.0
2019-10-28,187.0
2019-11-04,240.0
2019-11-11,210.0
2019-11-18,204.0
2019-11-25,269.0
2019-12-02,233.0
2019-12-09,252.0
2019-12-16,283.0
2019-12-23,327.0
2019-12-30,238.0
2020-01-06,118.0
2020-01-13,416.1609756097561
2020-01-20,161.0
2020-01-27,121.0
2020-02-03,416.1609756097561
2020-02-10,121.0
2020-02-17,416.1609756097561
2020-02-24,124.0
2020-03-02,416.1609756097561
2020-03-09,416.1609756097561
2020-03-16,416.1609756097561
2020-03-23,416.1609756097561
2020-03-30,416.1609756097561
2020-04-06,416.1609756097561
2020-04-13,416.1609756097561
2020-04-20,416.1609756097561
2020-04-27,416.1609756097561
2020-05-04,416.1609756097561
2020-05-11,416.1609756097561
2020-05-18,416.1609756097561
2020-05-25,416.1609756097561
2020-06-01,168.0
2020-06-08,170.0
2020-06-15,148.0
2020-06-22,154.0
2020-06-29,167.0
2020-07-06,123.0
2020-07-13,143.0
2020-07-20,195.0
2020-07-27,114.0
2020-08-03,158.0
2020-08-10,164.0
2020-08-17,416.1609756097561
2020-08-24,416.1609756097561
2020-08-31,416.1609756097561
2020-09-07,153.0
2020-09-14,416.1609756097561
2020-09-21,416.1609756097561
2020-09-28,159.0
2020-10-05,197.0
2020-10-12,185.0
2020-10-19,201.0
2020-10-26,176.0
2020-11-02,185.0
2020-11-09,416.1609756097561
2020-11-16,416.1609756097561
2020-11-23,416.1609756097561
2020-11-30,416.1609756097561
