productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,116,2017-01-02,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,115,2017-01-09,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,73,2017-01-16,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,92,2017-01-23,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,105,2017-01-30,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,130,2017-02-06,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,195,2017-02-13,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,157,2017-02-20,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,58,2017-02-27,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,138,2017-03-06,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,166,2017-03-13,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,117,2017-03-20,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,120,2017-03-27,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,216,2017-04-03,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,0,2017-04-10,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,37,2017-04-17,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,119,2017-04-24,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,254,2017-05-01,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,83,2017-05-08,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,127,2017-05-15,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,225,2017-05-22,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
417622,TABLEAU MINI NATURE EAU EVIAN0,5135,1,(001) MYTISHI,163,2017-05-29,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
