productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
271179,GM MARS 50G,672149,1,(001) MYTISHI,296,2017-01-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,408,2017-01-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,486,2017-01-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,355,2017-01-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,475,2017-01-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,484,2017-02-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,360,2017-02-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,378,2017-02-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,421,2017-02-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,403,2017-03-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,499,2017-03-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,551,2017-03-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,557,2017-03-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,426,2017-04-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,514,2017-04-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,358,2017-04-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,473,2017-04-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,475,2017-05-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,511,2017-05-08,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,496,2017-05-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,436,2017-05-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,640,2017-05-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,370,2017-06-05,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,380,2017-06-12,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,436,2017-06-19,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,380,2017-06-26,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,379,2017-07-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,274,2017-07-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,401,2017-07-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,317,2017-07-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,439,2017-07-31,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,377,2017-08-07,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,361,2017-08-14,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,462,2017-08-21,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,562,2017-08-28,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,404,2017-09-04,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,366,2017-09-11,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,414,2017-09-18,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,543,2017-09-25,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,628,2017-10-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,402,2017-10-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,512,2017-10-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,372,2017-10-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,523,2017-10-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,545,2017-11-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,474,2017-11-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,479,2017-11-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,229,2017-11-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,357,2017-12-04,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,253,2017-12-11,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,399,2017-12-18,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,504,2017-12-25,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,182,2018-01-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,134,2018-01-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,287,2018-01-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,187,2018-01-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,329,2018-02-05,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,228,2018-02-12,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,328,2018-02-19,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,357,2018-02-26,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,363,2018-03-05,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,271,2018-03-12,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,171,2018-03-19,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,252,2018-03-26,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,374,2018-04-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,342,2018-04-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,309,2018-04-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,317,2018-04-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,297,2018-04-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,362,2018-05-07,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,347,2018-05-14,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,204,2018-05-21,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,168,2018-05-28,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,180,2018-06-04,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,241,2018-06-11,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,259,2018-06-18,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,345,2018-06-25,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,267,2018-07-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,372,2018-07-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,351,2018-07-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,286,2018-07-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,294,2018-07-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,237,2018-08-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,325,2018-08-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,298,2018-08-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,328,2018-08-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,368,2018-09-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,553,2018-09-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,316,2018-09-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,266,2018-09-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,437,2018-10-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,461,2018-10-08,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,381,2018-10-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,403,2018-10-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,410,2018-10-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,768,2018-11-05,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,449,2018-11-12,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,595,2018-11-19,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,604,2018-11-26,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,997,2018-12-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,808,2018-12-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,593,2018-12-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,795,2018-12-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,228,2018-12-31,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,357,2019-01-07,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,256,2019-01-14,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
271179,GM MARS 50G,672149,1,(001) MYTISHI,151,2019-01-21,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
