Time,salesqty
2017-01-02,90.0
2017-01-09,82.0
2017-01-16,99.0
2017-01-23,175.0
2017-01-30,159.0
2017-02-06,158.0
2017-02-13,80.0
2017-02-20,71.0
2017-02-27,114.0
2017-03-06,81.0
2017-03-13,146.0
2017-03-20,156.0
2017-03-27,147.0
2017-04-03,137.0
2017-04-10,141.0
2017-04-17,116.0
2017-04-24,135.0
2017-05-01,149.0
2017-05-08,121.0
2017-05-15,150.0
2017-05-22,255.0
2017-05-29,127.0
2017-06-05,89.0
2017-06-12,132.0
2017-06-19,165.0
2017-06-26,102.0
2017-07-03,109.0
2017-07-10,99.0
2017-07-17,154.0
2017-07-24,119.0
2017-07-31,96.0
2017-08-07,184.2620320855615
2017-08-14,84.0
2017-08-21,102.0
2017-08-28,96.0
2017-09-04,99.0
2017-09-11,159.0
2017-09-18,130.0
2017-09-25,135.0
2017-10-02,92.0
2017-10-09,137.0
2017-10-16,150.0
2017-10-23,122.0
2017-10-30,227.0
2017-11-06,184.2620320855615
2017-11-13,116.0
2017-11-20,184.2620320855615
2017-11-27,59.0
2017-12-04,122.0
2017-12-11,192.0
2017-12-18,93.0
2017-12-25,118.0
2018-01-01,102.0
2018-01-08,161.0
2018-01-15,114.0
2018-01-22,93.0
2018-01-29,82.0
2018-02-05,162.0
2018-02-12,96.0
2018-02-19,127.0
2018-02-26,120.0
2018-03-05,160.0
2018-03-12,156.0
2018-03-19,189.0
2018-03-26,131.0
2018-04-02,198.0
2018-04-09,147.0
2018-04-16,157.0
2018-04-23,159.0
2018-04-30,169.0
2018-05-07,262.0
2018-05-14,164.0
2018-05-21,184.0
2018-05-28,309.0
2018-06-04,142.0
2018-06-11,311.0
2018-06-18,269.0
2018-06-25,255.0
2018-07-02,184.2620320855615
2018-07-09,306.0
2018-07-16,184.2620320855615
2018-07-23,242.0
2018-07-30,115.0
2018-08-06,296.0
2018-08-13,184.2620320855615
2018-08-20,256.0
2018-08-27,2632.0
2018-09-03,709.0
2018-09-10,579.0
2018-09-17,286.0
2018-09-24,471.0
2018-10-01,401.0
2018-10-08,511.0
2018-10-15,486.0
2018-10-22,190.0
2018-10-29,184.2620320855615
2018-11-05,497.0
2018-11-12,634.0
2018-11-19,699.0
2018-11-26,466.0
2018-12-03,184.2620320855615
2018-12-10,114.0
2018-12-17,250.0
2018-12-24,146.0
2018-12-31,181.0
2019-01-07,384.0
2019-01-14,544.0
2019-01-21,123.0
2019-01-28,180.0
2019-02-04,184.2620320855615
2019-02-11,184.2620320855615
2019-02-18,215.0
2019-02-25,408.0
2019-03-04,392.0
2019-03-11,305.0
2019-03-18,306.0
2019-03-25,298.0
2019-04-01,290.0
2019-04-08,246.0
2019-04-15,216.0
2019-04-22,216.0
2019-04-29,191.0
2019-05-06,206.0
2019-05-13,184.2620320855615
2019-05-20,504.0
2019-05-27,463.0
2019-06-03,376.0
2019-06-10,435.0
2019-06-17,494.0
2019-06-24,163.0
2019-07-01,148.0
2019-07-08,184.2620320855615
2019-07-15,184.2620320855615
2019-07-22,418.0
2019-07-29,128.0
2019-08-05,184.2620320855615
2019-08-12,184.2620320855615
2019-08-19,184.2620320855615
2019-08-26,184.2620320855615
2019-09-02,200.0
2019-09-09,199.0
2019-09-16,405.0
2019-09-23,184.2620320855615
2019-09-30,184.2620320855615
2019-10-07,184.2620320855615
2019-10-14,184.2620320855615
2019-10-21,290.0
2019-10-28,291.0
2019-11-04,140.0
2019-11-11,314.0
2019-11-18,232.0
2019-11-25,259.0
2019-12-02,271.0
2019-12-09,205.0
2019-12-16,178.0
2019-12-23,307.0
2019-12-30,140.0
2020-01-06,154.0
2020-01-13,184.2620320855615
2020-01-20,136.0
2020-01-27,200.0
2020-02-03,188.0
2020-02-10,233.0
2020-02-17,212.0
2020-02-24,137.0
2020-03-02,184.2620320855615
2020-03-09,184.2620320855615
2020-03-16,49.0
2020-03-23,99.0
2020-03-30,184.2620320855615
2020-04-06,184.2620320855615
2020-04-13,184.2620320855615
2020-04-20,184.2620320855615
2020-04-27,184.2620320855615
2020-05-04,71.0
2020-05-11,81.0
2020-05-18,184.2620320855615
2020-05-25,90.0
2020-06-01,121.0
2020-06-08,133.0
2020-06-15,128.0
2020-06-22,70.0
2020-06-29,184.2620320855615
2020-07-06,184.2620320855615
2020-07-13,184.2620320855615
2020-07-20,184.2620320855615
2020-07-27,184.2620320855615
