productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,83,2017-01-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,107,2017-01-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,112,2017-01-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,129,2017-01-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,159,2017-01-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,116,2017-02-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,108,2017-02-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,77,2017-02-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,162,2017-02-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,133,2017-03-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,98,2017-03-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,49,2017-03-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,66,2017-03-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,124,2017-04-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,126,2017-04-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,152,2017-04-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,78,2017-04-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,69,2017-05-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,151,2017-05-08,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,73,2017-05-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,110,2017-05-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
424390,NUGA MIND AND CLUK STYLE.PCS.60G,725215,1,(001) MYTISHI,89,2017-05-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
