productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,22,2017-03-06,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,60,2017-03-13,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,11,2017-03-20,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,42,2017-03-27,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,14,2017-04-03,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,12,2017-04-10,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,31,2017-04-17,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,55,2017-04-24,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,25,2017-05-01,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,31,2017-05-08,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,20,2017-05-15,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,17,2017-05-22,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,26,2017-05-29,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,50,2017-06-05,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,22,2017-06-12,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,22,2017-06-19,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,18,2017-06-26,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,9,2017-07-03,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
252113,SOURCE D'EAU.APARAN NEGAS 0,365284,1,(001) MYTISHI,0,2017-07-10,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
