productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,400,2017-01-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,551,2017-01-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,543,2017-01-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,618,2017-01-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,688,2017-01-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,871,2017-02-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,635,2017-02-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,931,2017-02-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,919,2017-02-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,740,2017-03-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,199,2017-03-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,327,2017-03-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,594,2017-03-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,617,2017-04-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,681,2017-04-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,525,2017-04-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,539,2017-04-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,564,2017-05-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,505,2017-05-08,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,534,2017-05-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,564,2017-05-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
85843,BATTERIE DE CHOC GM BABAY AVEC DÉMARRAGE DE CHOC 50,15366,1,(001) MYTISHI,923,2017-05-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
