Time,salesqty
2017-01-02,139.0
2017-01-09,199.0
2017-01-16,238.0
2017-01-23,265.0
2017-01-30,231.0
2017-02-06,306.0
2017-02-13,232.0
2017-02-20,198.0
2017-02-27,206.0
2017-03-06,253.0
2017-03-13,210.0
2017-03-20,314.0
2017-03-27,309.0
2017-04-03,100.0
2017-04-10,317.219512195122
2017-04-17,591.0
2017-04-24,168.0
2017-05-01,342.0
2017-05-08,317.219512195122
2017-05-15,245.0
2017-05-22,533.0
2017-05-29,566.0
2017-06-05,402.0
2017-06-12,323.0
2017-06-19,258.0
2017-06-26,406.0
2017-07-03,204.0
2017-07-10,120.0
2017-07-17,88.0
2017-07-24,407.0
2017-07-31,585.0
2017-08-07,517.0
2017-08-14,361.0
2017-08-21,428.0
2017-08-28,142.0
2017-09-04,147.0
2017-09-11,317.219512195122
2017-09-18,145.0
2017-09-25,640.0
2017-10-02,597.0
2017-10-09,661.0
2017-10-16,346.0
2017-10-23,215.0
2017-10-30,165.0
2017-11-06,335.0
2017-11-13,366.0
2017-11-20,420.0
2017-11-27,302.0
2017-12-04,317.219512195122
2017-12-11,1079.0
2017-12-18,1031.0
2017-12-25,968.0
2018-01-01,524.0
2018-01-08,443.0
2018-01-15,362.0
2018-01-22,285.0
2018-01-29,215.0
2018-02-05,267.0
2018-02-12,217.0
2018-02-19,353.0
2018-02-26,317.219512195122
2018-03-05,317.219512195122
2018-03-12,330.0
2018-03-19,99.0
2018-03-26,194.0
2018-04-02,225.0
2018-04-09,313.0
2018-04-16,163.0
2018-04-23,193.0
2018-04-30,205.0
2018-05-07,285.0
2018-05-14,352.0
2018-05-21,347.0
2018-05-28,190.0
2018-06-04,317.219512195122
2018-06-11,549.0
2018-06-18,296.0
2018-06-25,132.0
2018-07-02,180.0
2018-07-09,145.0
2018-07-16,231.0
2018-07-23,190.0
2018-07-30,265.0
2018-08-06,267.0
2018-08-13,286.0
2018-08-20,290.0
2018-08-27,299.0
2018-09-03,384.0
2018-09-10,372.0
2018-09-17,317.219512195122
2018-09-24,314.0
2018-10-01,1020.0
2018-10-08,943.0
2018-10-15,804.0
2018-10-22,804.0
2018-10-29,787.0
2018-11-05,974.0
2018-11-12,1122.0
2018-11-19,1067.0
2018-11-26,1523.0
2018-12-03,1160.0
2018-12-10,915.0
2018-12-17,933.0
2018-12-24,679.0
2018-12-31,338.0
2019-01-07,343.0
2019-01-14,306.0
2019-01-21,274.0
2019-01-28,358.0
2019-02-04,444.0
2019-02-11,452.0
2019-02-18,362.0
2019-02-25,481.0
2019-03-04,530.0
2019-03-11,446.0
2019-03-18,388.0
2019-03-25,296.0
2019-04-01,386.0
2019-04-08,341.0
2019-04-15,540.0
2019-04-22,398.0
2019-04-29,403.0
2019-05-06,258.0
2019-05-13,348.0
2019-05-20,391.0
2019-05-27,369.0
2019-06-03,323.0
2019-06-10,220.0
2019-06-17,317.219512195122
2019-06-24,317.219512195122
2019-07-01,162.0
2019-07-08,263.0
2019-07-15,193.0
2019-07-22,295.0
2019-07-29,491.0
2019-08-05,499.0
2019-08-12,448.0
2019-08-19,180.0
2019-08-26,245.0
2019-09-02,210.0
2019-09-09,202.0
2019-09-16,236.0
2019-09-23,292.0
2019-09-30,279.0
2019-10-07,306.0
2019-10-14,300.0
2019-10-21,313.0
2019-10-28,292.0
2019-11-04,285.0
2019-11-11,320.0
2019-11-18,426.0
2019-11-25,435.0
2019-12-02,344.0
2019-12-09,474.0
2019-12-16,501.0
2019-12-23,590.0
2019-12-30,396.0
2020-01-06,308.0
2020-01-13,246.0
2020-01-20,285.0
2020-01-27,339.0
2020-02-03,272.0
2020-02-10,288.0
2020-02-17,304.0
2020-02-24,348.0
2020-03-02,358.0
2020-03-09,324.0
2020-03-16,214.0
2020-03-23,317.219512195122
2020-03-30,317.219512195122
2020-04-06,317.219512195122
2020-04-13,317.219512195122
2020-04-20,317.219512195122
2020-04-27,317.219512195122
2020-05-04,317.219512195122
2020-05-11,317.219512195122
2020-05-18,317.219512195122
2020-05-25,317.219512195122
2020-06-01,336.0
2020-06-08,300.0
2020-06-15,261.0
2020-06-22,185.0
2020-06-29,151.0
2020-07-06,150.0
2020-07-13,134.0
2020-07-20,155.0
2020-07-27,317.219512195122
2020-08-03,317.219512195122
2020-08-10,167.0
2020-08-17,151.0
2020-08-24,146.0
2020-08-31,157.0
2020-09-07,209.0
2020-09-14,317.219512195122
2020-09-21,141.0
2020-09-28,200.0
2020-10-05,170.0
2020-10-12,180.0
2020-10-19,150.0
2020-10-26,173.0
2020-11-02,172.0
2020-11-09,317.219512195122
2020-11-16,317.219512195122
2020-11-23,317.219512195122
2020-11-30,317.219512195122
