Time,salesqty
2017-01-02,935
2017-01-09,1680
2017-01-16,1095
2017-01-23,1516
2017-01-30,1636
2017-02-06,1471
2017-02-13,1774
2017-02-20,1653
2017-02-27,4294
2017-03-06,1887
2017-03-13,1888
2017-03-20,1600
2017-03-27,1765
2017-04-03,2246
2017-04-10,1875
2017-04-17,1715
2017-04-24,2091
2017-05-01,2364
2017-05-08,2149
2017-05-15,2176
2017-05-22,2255
2017-05-29,1625
2017-06-05,2762
2017-06-12,2023
2017-06-19,1737
2017-06-26,1946
2017-07-03,1874
2017-07-10,1522
2017-07-17,2416
2017-07-24,2159
2017-07-31,2304
2017-08-07,1902
2017-08-14,2173
2017-08-21,1917
2017-08-28,2102
2017-09-04,1842
2017-09-11,1655
2017-09-18,1453
2017-09-25,1449
2017-10-02,1393
2017-10-09,1398
2017-10-16,1912
2017-10-23,1296
2017-10-30,1555
2017-11-06,1371
2017-11-13,1217
2017-11-20,1503
2017-11-27,1360
2017-12-04,1736
2017-12-11,1613
2017-12-18,1193
2017-12-25,1243
2018-01-01,1030
2018-01-08,1323
2018-01-15,1403
2018-01-22,1484
2018-01-29,1143
2018-02-05,1567
2018-02-12,1431
2018-02-19,1532
2018-02-26,1491
2018-03-05,1741
2018-03-12,1552
2018-03-19,1406
2018-03-26,1793
2018-04-02,1695
2018-04-09,1895
2018-04-16,2186
2018-04-23,1982
2018-04-30,1889
2018-05-07,2300
2018-05-14,2589
2018-05-21,2542
2018-05-28,2090
2018-06-04,1845
2018-06-11,2319
2018-06-18,2579
2018-06-25,3130
2018-07-02,2104
2018-07-09,2254
2018-07-16,1847
2018-07-23,2091
2018-07-30,2505
2018-08-06,2620
2018-08-13,1710
2018-08-20,2264
2018-08-27,2195
2018-09-03,2249
2018-09-10,2029
2018-09-17,1990
2018-09-24,1150
2018-10-01,1604
2018-10-08,1525
2018-10-15,1298
2018-10-22,1376
2018-10-29,1620
2018-11-05,1537
2018-11-12,1290
2018-11-19,1411
2018-11-26,1594
2018-12-03,1811
2018-12-10,1940
2018-12-17,1746
2018-12-24,1686
2018-12-31,964
2019-01-07,1224
2019-01-14,1556
2019-01-21,1605
2019-01-28,1534
2019-02-04,1843
2019-02-11,2096
2019-02-18,1487
2019-02-25,1821
2019-03-04,1839
2019-03-11,1832
2019-03-18,1774
2019-03-25,1842
2019-04-01,2075
2019-04-08,1814
2019-04-15,908
2019-04-22,769
2019-04-29,2182
2019-05-06,2370
2019-05-13,2982
2019-05-20,3207
2019-05-27,1643
2019-06-03,3164
2019-06-10,2346
2019-06-17,2550
2019-06-24,1970
2019-07-01,2345
2019-07-08,1607
2019-07-15,1689
2019-07-22,2318
2019-07-29,1733
2019-08-05,1976
2019-08-12,2117
2019-08-19,1939
2019-08-26,2140
2019-09-02,1895
2019-09-09,2053
2019-09-16,1566
2019-09-23,1606
2019-09-30,1433
2019-10-07,1544
2019-10-14,1458
2019-10-21,1348
2019-10-28,1092
2019-11-04,1313
2019-11-11,1708
2019-11-18,1511
2019-11-25,1444
2019-12-02,1507
2019-12-09,1474
2019-12-16,1347
2019-12-23,1168
2019-12-30,731
2020-01-06,912
2020-01-13,1062
2020-01-20,1134
2020-01-27,1095
2020-02-03,1036
2020-02-10,1269
2020-02-17,1142
2020-02-24,1447
2020-03-02,1144
2020-03-09,1268
2020-03-16,1065
2020-03-23,924
2020-03-30,492
2020-04-06,681
2020-04-13,567
2020-04-20,1614
2020-04-27,411
2020-05-04,667
2020-05-11,767
2020-05-18,675
2020-05-25,692
2020-06-01,809
2020-06-08,1531
2020-06-15,1339
2020-06-22,1299
2020-06-29,1289
2020-07-06,1541
2020-07-13,1208
2020-07-20,793
2020-07-27,1406
2020-08-03,1300
2020-08-10,1287
2020-08-17,1602
2020-08-24,1760
2020-08-31,1278
2020-09-07,777
2020-09-14,1034
2020-09-21,1027
2020-09-28,707
2020-10-05,1044
2020-10-12,1131
2020-10-19,800
2020-10-26,1157
2020-11-02,772
2020-11-09,851
2020-11-16,704
2020-11-23,865
2020-11-30,1614
