productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,25,2017-06-26,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,189,2017-07-03,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,110,2017-07-10,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,133,2017-07-17,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,160,2017-07-24,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,308,2017-07-31,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,377,2017-08-07,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,324,2017-08-14,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,547,2017-08-21,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,278,2017-08-28,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,270,2017-09-04,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,414,2017-09-11,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,339,2017-09-18,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,319,2017-09-25,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,249,2017-10-02,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,480,2017-10-09,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,271,2017-10-16,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,218,2017-10-23,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,172,2017-10-30,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,306,2017-11-06,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,405,2017-11-13,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,180,2017-11-20,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,319,2017-11-27,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,328,2017-12-04,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,293,2017-12-11,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
273889,KD / EAU POTABLE B / GAZ 0,419455,1,(001) MYTISHI,462,2017-12-18,4516,1,120 - EAU N/G EN BOUTEILLE<=0.65,6319668120,1,5,
