Time,salesqty
2017-01-02,334.0
2017-01-09,389.0
2017-01-16,566.0
2017-01-23,530.0
2017-01-30,462.0
2017-02-06,474.0
2017-02-13,596.0
2017-02-20,385.0
2017-02-27,650.0
2017-03-06,681.0
2017-03-13,654.0
2017-03-20,621.0
2017-03-27,622.0
2017-04-03,420.0
2017-04-10,385.0
2017-04-17,518.0
2017-04-24,674.0
2017-05-01,759.0
2017-05-08,686.0
2017-05-15,685.0
2017-05-22,623.0
2017-05-29,782.0
2017-06-05,685.0
2017-06-12,619.0
2017-06-19,541.0
2017-06-26,422.0
2017-07-03,432.0
2017-07-10,352.0
2017-07-17,398.0
2017-07-24,395.0
2017-07-31,406.0
2017-08-07,450.0
2017-08-14,281.0
2017-08-21,426.0
2017-08-28,560.0
2017-09-04,570.0
2017-09-11,383.0
2017-09-18,592.0
2017-09-25,421.0
2017-10-02,529.0
2017-10-09,442.0
2017-10-16,423.0
2017-10-23,417.0
2017-10-30,514.0
2017-11-06,525.0
2017-11-13,348.0
2017-11-20,464.0
2017-11-27,452.0
2017-12-04,447.0
2017-12-11,536.0
2017-12-18,465.0
2017-12-25,632.0
2018-01-01,373.0
2018-01-08,221.0
2018-01-15,249.0
2018-01-22,277.0
2018-01-29,345.0
2018-02-05,306.0
2018-02-12,310.0
2018-02-19,408.0
2018-02-26,362.0
2018-03-05,326.0
2018-03-12,381.0
2018-03-19,399.0
2018-03-26,327.0
2018-04-02,394.0
2018-04-09,478.0
2018-04-16,453.0
2018-04-23,418.0
2018-04-30,333.0
2018-05-07,371.0
2018-05-14,390.0
2018-05-21,233.0
2018-05-28,348.0
2018-06-04,317.0
2018-06-11,317.0
2018-06-18,313.0
2018-06-25,356.0
2018-07-02,264.0
2018-07-09,279.0
2018-07-16,291.0
2018-07-23,334.0
2018-07-30,229.0
2018-08-06,190.0
2018-08-13,401.0
2018-08-20,401.0
2018-08-27,336.0
2018-09-03,411.0
2018-09-10,267.0
2018-09-17,422.0
2018-09-24,477.0
2018-10-01,612.0
2018-10-08,623.0
2018-10-15,630.0
2018-10-22,622.0
2018-10-29,596.0
2018-11-05,586.0
2018-11-12,394.0
2018-11-19,670.0
2018-11-26,605.0
2018-12-03,845.0
2018-12-10,883.0
2018-12-17,1007.0
2018-12-24,730.0
2018-12-31,504.0
2019-01-07,588.0
2019-01-14,553.0
2019-01-21,598.0
2019-01-28,370.0
2019-02-04,488.0
2019-02-11,684.0
2019-02-18,531.0
2019-02-25,406.0
2019-03-04,528.0
2019-03-11,376.0
2019-03-18,416.0
2019-03-25,298.0
2019-04-01,336.0
2019-04-08,421.0
2019-04-15,348.0
2019-04-22,302.0
2019-04-29,296.0
2019-05-06,294.0
2019-05-13,385.2926829268293
2019-05-20,385.2926829268293
2019-05-27,351.0
2019-06-03,302.0
2019-06-10,325.0
2019-06-17,297.0
2019-06-24,329.0
2019-07-01,302.0
2019-07-08,219.0
2019-07-15,329.0
2019-07-22,428.0
2019-07-29,430.0
2019-08-05,504.0
2019-08-12,350.0
2019-08-19,265.0
2019-08-26,289.0
2019-09-02,352.0
2019-09-09,222.0
2019-09-16,264.0
2019-09-23,399.0
2019-09-30,378.0
2019-10-07,467.0
2019-10-14,426.0
2019-10-21,422.0
2019-10-28,363.0
2019-11-04,504.0
2019-11-11,422.0
2019-11-18,466.0
2019-11-25,386.0
2019-12-02,526.0
2019-12-09,525.0
2019-12-16,622.0
2019-12-23,779.0
2019-12-30,444.0
2020-01-06,275.0
2020-01-13,309.0
2020-01-20,322.0
2020-01-27,298.0
2020-02-03,354.0
2020-02-10,322.0
2020-02-17,283.0
2020-02-24,297.0
2020-03-02,391.0
2020-03-09,356.0
2020-03-16,279.0
2020-03-23,114.0
2020-03-30,385.2926829268293
2020-04-06,148.0
2020-04-13,385.2926829268293
2020-04-20,118.0
2020-04-27,102.0
2020-05-04,385.2926829268293
2020-05-11,385.2926829268293
2020-05-18,385.2926829268293
2020-05-25,121.0
2020-06-01,205.0
2020-06-08,209.0
2020-06-15,156.0
2020-06-22,385.2926829268293
2020-06-29,385.2926829268293
2020-07-06,385.2926829268293
2020-07-13,103.0
2020-07-20,122.0
2020-07-27,148.0
2020-08-03,181.0
2020-08-10,196.0
2020-08-17,197.0
2020-08-24,254.0
2020-08-31,285.0
2020-09-07,204.0
2020-09-14,385.2926829268293
2020-09-21,161.0
2020-09-28,189.0
2020-10-05,230.0
2020-10-12,252.0
2020-10-19,283.0
2020-10-26,273.0
2020-11-02,198.0
2020-11-09,213.0
2020-11-16,222.0
2020-11-23,126.0
2020-11-30,385.2926829268293
